productId,productName,sourceImage,problem,recommendedAction
tmall-900451599013,半身倒模款,/images/products/tmall/900451599013.jpg,平台主图仅作临时来源，不作为官网正式 approved 主图,request-original
tmall-1003179680764,半身倒模款,/images/products/tmall/1003179680764.jpg,平台主图仅作临时来源，不作为官网正式 approved 主图,request-original
tmall-1008749329121,臀部倒模款,/images/products/tmall/1008749329121.jpg,平台主图仅作临时来源，不作为官网正式 approved 主图,request-original
tmall-903284452343,自动臀部倒模款,/images/products/tmall/903284452343.jpg,平台主图仅作临时来源，不作为官网正式 approved 主图,request-original
